T,Dk,Dv,dtype,mode,status,tensor,max_rel,one_minus_cos,dims
1024,128,128,float32,fp32-ieee,ok,dg,7.609e-05,5.96e-08,128×128
1024,128,128,float32,fp32-ieee,ok,dbeta,0.0001189,-1.192e-07,128×128
1024,64,128,float32,fp32-ieee,ok,fwd out,0.0001015,0.0,64×128
1024,64,128,float32,fp32-ieee,ok,fwd state,9.925e-05,5.96e-08,64×128
1024,64,128,float32,fp32-ieee,ok,dq,0.0001629,0.0,64×128
1024,64,128,float32,fp32-ieee,ok,dk,0.0001114,-1.192e-07,64×128
1024,64,128,float32,fp32-ieee,ok,dv,0.0001741,0.0,64×128
1024,64,128,float32,fp32-ieee,ok,dg,7.218e-05,0.0,64×128
1024,64,128,float32,fp32-ieee,ok,dbeta,0.0002037,0.0,64×128
4096,64,64,float32,fp32-ieee,ok,fwd out,0.0001101,0.0,64×64
4096,64,64,float32,fp32-ieee,ok,fwd state,7.056e-05,0.0,64×64
4096,64,64,float32,fp32-ieee,ok,dq,0.0001172,0.0,64×64
4096,64,64,float32,fp32-ieee,ok,dk,0.000143,0.0,64×64
4096,64,64,float32,fp32-ieee,ok,dv,0.0001528,-1.192e-07,64×64
4096,64,64,float32,fp32-ieee,ok,dg,8.979e-05,0.0,64×64
4096,64,64,float32,fp32-ieee,ok,dbeta,0.0001205,0.0,64×64
4096,128,128,float32,fp32-ieee,ok,fwd out,9.276e-05,0.0,128×128
4096,128,128,float32,fp32-ieee,ok,fwd state,5.097e-05,0.0,128×128
4096,128,128,float32,fp32-ieee,ok,dq,8.765e-05,0.0,128×128
4096,128,128,float32,fp32-ieee,ok,dk,0.0001236,0.0,128×128
4096,128,128,float32,fp32-ieee,ok,dv,0.0001127,0.0,128×128
4096,128,128,float32,fp32-ieee,ok,dg,7.423e-05,1.192e-07,128×128
4096,128,128,float32,fp32-ieee,ok,dbeta,9.123e-05,0.0,128×128
4096,64,128,float32,fp32-ieee,ok,fwd out,0.0001331,-1.192e-07,64×128
4096,64,128,float32,fp32-ieee,ok,fwd state,6.2e-05,0.0,64×128
4096,64,128,float32,fp32-ieee,ok,dq,0.000166,0.0,64×128
4096,64,128,float32,fp32-ieee,ok,dk,0.0001149,0.0,64×128
4096,64,128,float32,fp32-ieee,ok,dv,0.0001343,0.0,64×128
4096,64,128,float32,fp32-ieee,ok,dg,0.0001005,5.96e-08,64×128
4096,64,128,float32,fp32-ieee,ok,dbeta,0.0001175,5.96e-08,64×128
